iter	Logloss
0	0.6827117754
1	0.6690903435
2	0.6578094272
3	0.6469152516
4	0.6337498851
5	0.6251484198
6	0.6143228582
7	0.602761149
8	0.5893871617
9	0.5787945274
10	0.567690071
11	0.5585905825
12	0.5469615004
13	0.5381303772
14	0.5278813784
15	0.5194073903
16	0.5111941575
17	0.5015219367
18	0.4933239562
19	0.4846240469
20	0.4765330058
21	0.469180537
22	0.4605035839
23	0.4520994133
24	0.4439955083
25	0.4362950135
26	0.4295710985
27	0.4224483766
28	0.4158798005
29	0.4081455472
30	0.403478661
31	0.3977438478
32	0.3906363106
33	0.3852398536
34	0.3787339198
35	0.372829454
36	0.3671097729
37	0.3608400817
38	0.3547506186
39	0.3489634976
40	0.344869153
41	0.3399710448
42	0.3359872288
43	0.3304189525
44	0.3262144485
45	0.3219822267
46	0.3176356605
47	0.3123559678
48	0.3069196776
49	0.3021809397
50	0.2980559597
51	0.2934992926
52	0.2903873189
53	0.2859084276
54	0.2817589161
55	0.2775333447
56	0.2735115057
57	0.2694775939
58	0.2661635966
59	0.2632617829
60	0.2600586774
61	0.2558488254
62	0.2531795617
63	0.2501212974
64	0.2467611711
65	0.2435508034
66	0.2398676056
67	0.237031819
68	0.2343533311
69	0.2313434698
70	0.2284617055
71	0.2259806207
72	0.2228102698
73	0.219835741
74	0.2169896875
75	0.2146326091
76	0.2118754732
77	0.2094988256
78	0.2064007328
79	0.2038947081
80	0.2019755166
81	0.1993336258
82	0.1965663505
83	0.1944270081
84	0.1922864694
85	0.1903722143
86	0.18857648
87	0.1868138402
88	0.1852271463
89	0.1832185215
90	0.1810536926
91	0.1793142517
92	0.177154971
93	0.1752980226
94	0.1737417423
95	0.1718208279
96	0.1705591277
97	0.1691882206
98	0.1674668261
99	0.165867505
100	0.1638316401
101	0.1619481517
102	0.1603739293
103	0.1591140551
104	0.1577170096
105	0.1561598571
106	0.1542793492
107	0.1529674344
108	0.1519410819
109	0.1502856189
110	0.1488157512
111	0.1478797558
112	0.1462935767
113	0.145026744
114	0.1432111545
115	0.1417775599
116	0.1404689431
117	0.1394165665
118	0.1383393233
119	0.1370085091
120	0.1360171467
121	0.1348814642
122	0.1337379354
123	0.1325622186
124	0.1315414361
125	0.1305932374
126	0.1297188615
127	0.1287828439
128	0.1276777559
129	0.1263904376
130	0.125129398
131	0.123633545
132	0.1227010009
133	0.1218834582
134	0.1208874911
135	0.1199015888
136	0.1191089252
137	0.1180527736
138	0.1170561015
139	0.1159211453
140	0.1150313745
141	0.1141021618
142	0.1132046538
143	0.1122988607
144	0.11151001
145	0.1108738185
146	0.1100516546
147	0.1090736743
148	0.1083111314
149	0.1075989214
150	0.106870188
151	0.1059349509
152	0.1053926591
153	0.104795822
154	0.1038461859
155	0.1032988604
156	0.1027186709
157	0.1019935884
158	0.1010806455
159	0.1003486057
160	0.09959621188
161	0.09877944912
162	0.09825003283
163	0.09761583141
164	0.09702915135
165	0.09629180111
166	0.09554004383
167	0.09494266677
168	0.09421040821
169	0.09358054525
170	0.09300771496
171	0.09241994049
172	0.09189748178
173	0.09139238274
174	0.0907817495
175	0.09029983008
176	0.08982569287
177	0.08913295402
178	0.08868251424
179	0.08827688971
180	0.08783726279
181	0.08740308607
182	0.08678512679
183	0.08613270871
184	0.0856930875
185	0.08526403949
186	0.08478368909
187	0.08431000686
188	0.08396493455
189	0.08367543175
190	0.08322958486
191	0.08261332155
192	0.08208430645
193	0.08153480947
194	0.0811485276
195	0.08075559283
196	0.08027518125
197	0.07975153815
198	0.07917505026
199	0.07857412656
200	0.07815691042
201	0.07760776229
202	0.07718587789
203	0.07676948553
204	0.07633634978
205	0.07590293705
206	0.07548281935
207	0.07489903983
208	0.07447533762
209	0.07409144926
210	0.07360069135
211	0.07316723241
212	0.07285215592
213	0.07249971276
214	0.07212211457
215	0.07152741739
216	0.07116608869
217	0.07066779221
218	0.07033266522
219	0.0698515458
220	0.06957606606
221	0.06912550678
222	0.06873577064
223	0.06831914202
224	0.06805152203
225	0.06775852278
226	0.06755189928
227	0.0671329225
228	0.06672977324
229	0.06650199267
230	0.06619442503
231	0.06591291615
232	0.06553076172
233	0.06524180884
234	0.06503698505
235	0.06464126151
236	0.06428049277
237	0.06397078765
238	0.06367469441
239	0.06333840981
240	0.06297392804
241	0.06272058689
242	0.06245020174
243	0.06214774677
244	0.06182116724
245	0.06149941351
246	0.06123784284
247	0.0610581249
248	0.06070264794
249	0.06046101855
250	0.06015315446
251	0.05996670601
252	0.05966385441
253	0.05947721778
254	0.05916415128
255	0.05890888939
256	0.05859820898
257	0.05819997434
258	0.05799613623
259	0.0576538272
260	0.05738550204
261	0.0571613647
262	0.05684252497
263	0.05648322304
264	0.05632052369
265	0.05600849911
266	0.05565919174
267	0.05535981001
268	0.05511771355
269	0.0549090468
270	0.05487267931
271	0.05462920951
272	0.05439051913
273	0.05413755752
274	0.05390395821
275	0.05353251537
276	0.05324260775
277	0.05299418194
278	0.05280868598
279	0.05263199249
280	0.05223599037
281	0.05191833536
282	0.0517331396
283	0.05148635081
284	0.05126773264
285	0.05111333574
286	0.0510604096
287	0.05083841152
288	0.05058578445
289	0.05046750794
290	0.05041842226
291	0.05024310892
292	0.05006666401
293	0.04986244456
294	0.04965030019
295	0.04947638874
296	0.0492570527
297	0.04893955903
298	0.04876550422
299	0.04851869143
300	0.04828845653
301	0.04810960258
302	0.04800138189
303	0.04778134014
304	0.04753862614
305	0.04739294646
306	0.04728598524
307	0.04709918503
308	0.04686277214
309	0.04661997677
